
Degree     Radians         sin             cos           tan
-97  -1.692969e+00  -9.925462e-01  -1.218693e-01  8.144346e+00
-96  -1.675516e+00  -9.945219e-01  -1.045285e-01  9.514364e+00
-95  -1.658063e+00  -9.961947e-01  -8.715574e-02  1.143005e+01
-94  -1.640609e+00  -9.975641e-01  -6.975647e-02  1.430067e+01
-93  -1.623156e+00  -9.986295e-01  -5.233596e-02  1.908114e+01
-92  -1.605703e+00  -9.993908e-01  -3.489950e-02  2.863625e+01
-91  -1.588250e+00  -9.998477e-01  -1.745241e-02  5.728996e+01
-90  -1.570796e+00  -1.000000e+00  6.123234e-17  -1.633124e+16
-89  -1.553343e+00  -9.998477e-01  1.745241e-02  -5.728996e+01
-88  -1.535890e+00  -9.993908e-01  3.489950e-02  -2.863625e+01
-87  -1.518436e+00  -9.986295e-01  5.233596e-02  -1.908114e+01
-86  -1.500983e+00  -9.975641e-01  6.975647e-02  -1.430067e+01
-85  -1.483530e+00  -9.961947e-01  8.715574e-02  -1.143005e+01
-84  -1.466077e+00  -9.945219e-01  1.045285e-01  -9.514364e+00
-83  -1.448623e+00  -9.925462e-01  1.218693e-01  -8.144346e+00
-82  -1.431170e+00  -9.902681e-01  1.391731e-01  -7.115370e+00
-81  -1.413717e+00  -9.876883e-01  1.564345e-01  -6.313752e+00
-80  -1.396263e+00  -9.848078e-01  1.736482e-01  -5.671282e+00
-79  -1.378810e+00  -9.816272e-01  1.908090e-01  -5.144554e+00
-78  -1.361357e+00  -9.781476e-01  2.079117e-01  -4.704630e+00
-77  -1.343904e+00  -9.743701e-01  2.249511e-01  -4.331476e+00
-76  -1.326450e+00  -9.702957e-01  2.419219e-01  -4.010781e+00
-75  -1.308997e+00  -9.659258e-01  2.588190e-01  -3.732051e+00
-74  -1.291544e+00  -9.612617e-01  2.756374e-01  -3.487414e+00
-73  -1.274090e+00  -9.563048e-01  2.923717e-01  -3.270853e+00
-72  -1.256637e+00  -9.510565e-01  3.090170e-01  -3.077684e+00
-71  -1.239184e+00  -9.455186e-01  3.255682e-01  -2.904211e+00
-70  -1.221730e+00  -9.396926e-01  3.420201e-01  -2.747477e+00
-69  -1.204277e+00  -9.335804e-01  3.583679e-01  -2.605089e+00
-68  -1.186824e+00  -9.271839e-01  3.746066e-01  -2.475087e+00
-67  -1.169371e+00  -9.205049e-01  3.907311e-01  -2.355852e+00
-66  -1.151917e+00  -9.135455e-01  4.067366e-01  -2.246037e+00
-65  -1.134464e+00  -9.063078e-01  4.226183e-01  -2.144507e+00
-64  -1.117011e+00  -8.987940e-01  4.383711e-01  -2.050304e+00
-63  -1.099557e+00  -8.910065e-01  4.539905e-01  -1.962611e+00
-62  -1.082104e+00  -8.829476e-01  4.694716e-01  -1.880726e+00
-61  -1.064651e+00  -8.746197e-01  4.848096e-01  -1.804048e+00
-60  -1.047198e+00  -8.660254e-01  5.000000e-01  -1.732051e+00
-59  -1.029744e+00  -8.571673e-01  5.150381e-01  -1.664279e+00
-58  -1.012291e+00  -8.480481e-01  5.299193e-01  -1.600335e+00
-57  -9.948377e-01  -8.386706e-01  5.446390e-01  -1.539865e+00
-56  -9.773844e-01  -8.290376e-01  5.591929e-01  -1.482561e+00
-55  -9.599311e-01  -8.191520e-01  5.735764e-01  -1.428148e+00
-54  -9.424778e-01  -8.090170e-01  5.877853e-01  -1.376382e+00
-53  -9.250245e-01  -7.986355e-01  6.018150e-01  -1.327045e+00
-52  -9.075712e-01  -7.880108e-01  6.156615e-01  -1.279942e+00
-51  -8.901179e-01  -7.771460e-01  6.293204e-01  -1.234897e+00
-50  -8.726646e-01  -7.660444e-01  6.427876e-01  -1.191754e+00
-49  -8.552113e-01  -7.547096e-01  6.560590e-01  -1.150368e+00
-48  -8.377580e-01  -7.431448e-01  6.691306e-01  -1.110613e+00
-47  -8.203047e-01  -7.313537e-01  6.819984e-01  -1.072369e+00
-46  -8.028515e-01  -7.193398e-01  6.946584e-01  -1.035530e+00
-45  -7.853982e-01  -7.071068e-01  7.071068e-01  -1.000000e+00
-44  -7.679449e-01  -6.946584e-01  7.193398e-01  -9.656888e-01
-43  -7.504916e-01  -6.819984e-01  7.313537e-01  -9.325151e-01
-42  -7.330383e-01  -6.691306e-01  7.431448e-01  -9.004040e-01
-41  -7.155850e-01  -6.560590e-01  7.547096e-01  -8.692867e-01
-40  -6.981317e-01  -6.427876e-01  7.660444e-01  -8.390996e-01
-39  -6.806784e-01  -6.293204e-01  7.771460e-01  -8.097840e-01
-38  -6.632251e-01  -6.156615e-01  7.880108e-01  -7.812856e-01
-37  -6.457718e-01  -6.018150e-01  7.986355e-01  -7.535541e-01
-36  -6.283185e-01  -5.877853e-01  8.090170e-01  -7.265425e-01
-35  -6.108652e-01  -5.735764e-01  8.191520e-01  -7.002075e-01
-34  -5.934119e-01  -5.591929e-01  8.290376e-01  -6.745085e-01
-33  -5.759587e-01  -5.446390e-01  8.386706e-01  -6.494076e-01
-32  -5.585054e-01  -5.299193e-01  8.480481e-01  -6.248694e-01
-31  -5.410521e-01  -5.150381e-01  8.571673e-01  -6.008606e-01
-30  -5.235988e-01  -5.000000e-01  8.660254e-01  -5.773503e-01
-29  -5.061455e-01  -4.848096e-01  8.746197e-01  -5.543091e-01
-28  -4.886922e-01  -4.694716e-01  8.829476e-01  -5.317094e-01
-27  -4.712389e-01  -4.539905e-01  8.910065e-01  -5.095254e-01
-26  -4.537856e-01  -4.383711e-01  8.987940e-01  -4.877326e-01
-25  -4.363323e-01  -4.226183e-01  9.063078e-01  -4.663077e-01
-24  -4.188790e-01  -4.067366e-01  9.135455e-01  -4.452287e-01
-23  -4.014257e-01  -3.907311e-01  9.205049e-01  -4.244748e-01
